Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Number of Turns per Tx Segment,Mutual Inductance Segment L (H),Mutual Inductance Segment L+C (H),Final Mutual Inductance (H)
0.06,0.06,14,0.06,0.06,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.15E-09,1.15E-09,2.30E-09
0.06,0.06,7,0.06,0.06,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.31E-09,4.31E-09,8.62E-09
0.06,0.06,4,0.06,0.06,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.32E-08,1.32E-08,2.64E-08
0.06,0.06,3,0.06,0.06,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.80E-08,1.80E-08,3.61E-08
0.06,0.1,14,0.06,0.1,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.18E-09,1.18E-09,2.36E-09
0.06,0.1,7,0.06,0.1,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.52E-09,4.52E-09,9.05E-09
0.06,0.1,4,0.06,0.1,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.44E-08,1.44E-08,2.87E-08
0.06,0.1,3,0.06,0.1,3,2,0.15,3,5.55,17,31.45,85,157.25,20,2.04E-08,2.04E-08,4.08E-08
0.06,0.14,14,0.06,0.14,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.22E-09,1.22E-09,2.43E-09
0.06,0.14,7,0.06,0.14,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.78E-09,4.78E-09,9.55E-09
0.06,0.14,4,0.06,0.14,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.58E-08,1.58E-08,3.15E-08
0.06,0.14,3,0.06,0.14,3,2,0.15,3,5.55,17,31.45,85,157.25,20,2.16E-08,2.16E-08,4.32E-08
0.06,0.18,14,0.06,0.18,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.26E-09,1.26E-09,2.51E-09
0.06,0.18,7,0.06,0.18,7,1,0.15,3,5.55,17,31.45,85,157.25,39,5.08E-09,5.08E-09,1.02E-08
0.06,0.18,4,0.06,0.18,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.64E-08,1.64E-08,3.28E-08
0.06,0.18,3,0.06,0.18,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.86E-08,1.86E-08,3.73E-08
0.06,0.22,14,0.06,0.22,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.30E-09,1.30E-09,2.61E-09
0.06,0.22,7,0.06,0.22,7,1,0.15,3,5.55,17,31.45,85,157.25,39,5.43E-09,5.43E-09,1.09E-08
0.06,0.22,4,0.06,0.22,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.45E-08,1.45E-08,2.89E-08
0.06,0.22,3,0.06,0.22,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.71E-08,1.71E-08,3.42E-08
0.06,0.26,14,0.06,0.26,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.36E-09,1.36E-09,2.72E-09
0.06,0.26,7,0.06,0.26,7,1,0.15,3,5.55,17,31.45,85,157.25,39,5.08E-09,5.08E-09,1.02E-08
0.06,0.26,4,0.06,0.26,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.23E-08,1.23E-08,2.47E-08
0.06,0.26,3,0.06,0.26,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.49E-08,1.49E-08,2.99E-08
0.06,0.3,14,0.06,0.3,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.42E-09,1.42E-09,2.85E-09
0.06,0.3,7,0.06,0.3,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.64E-09,4.64E-09,9.29E-09
0.06,0.3,4,0.06,0.3,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.16E-08,1.16E-08,2.33E-08
0.06,0.3,3,0.06,0.3,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.51E-08,1.51E-08,3.02E-08
0.06,0.34,14,0.06,0.34,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.50E-09,1.50E-09,3.00E-09
0.06,0.34,7,0.06,0.34,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.12E-09,4.12E-09,8.23E-09
0.06,0.34,4,0.06,0.34,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.13E-08,1.13E-08,2.27E-08
0.06,0.34,3,0.06,0.34,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.55E-08,1.55E-08,3.11E-08
0.06,0.38,14,0.06,0.38,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.40E-09,1.40E-09,2.79E-09
0.06,0.38,7,0.06,0.38,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.71E-09,3.71E-09,7.41E-09
0.06,0.38,4,0.06,0.38,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.05E-08,1.05E-08,2.09E-08
0.06,0.38,3,0.06,0.38,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.54E-08,1.54E-08,3.08E-08
0.06,0.42,14,0.06,0.42,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.27E-09,1.27E-09,2.55E-09
0.06,0.42,7,0.06,0.42,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.58E-09,3.58E-09,7.15E-09
0.06,0.42,4,0.06,0.42,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.08E-08,1.08E-08,2.17E-08
0.06,0.42,3,0.06,0.42,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.34E-08,1.34E-08,2.68E-08
0.06,0.46,14,0.06,0.46,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.13E-09,1.13E-09,2.26E-09
0.06,0.46,7,0.06,0.46,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.31E-09,3.31E-09,6.62E-09
0.06,0.46,4,0.06,0.46,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.16E-08,1.16E-08,2.32E-08
0.06,0.46,3,0.06,0.46,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.25E-08,1.25E-08,2.50E-08
0.06,0.5,14,0.06,0.5,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,1.05E-09,1.05E-09,2.10E-09
0.06,0.5,7,0.06,0.5,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.10E-09,3.10E-09,6.19E-09
0.06,0.5,4,0.06,0.5,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.14E-08,1.14E-08,2.27E-08
0.06,0.5,3,0.06,0.5,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.13E-08,1.13E-08,2.27E-08
0.06,0.54,14,0.06,0.54,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,9.86E-10,9.86E-10,1.97E-09
0.06,0.54,7,0.06,0.54,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.12E-09,3.12E-09,6.25E-09
0.06,0.54,4,0.06,0.54,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.18E-08,1.18E-08,2.37E-08
0.06,0.54,3,0.06,0.54,3,2,0.15,3,5.55,17,31.45,85,157.25,20,1.08E-08,1.08E-08,2.15E-08
0.06,0.58,14,0.06,0.58,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,9.31E-10,9.31E-10,1.86E-09
0.06,0.58,7,0.06,0.58,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.00E-09,3.00E-09,6.00E-09
0.06,0.58,4,0.06,0.58,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.17E-08,1.17E-08,2.34E-08
0.06,0.58,3,0.06,0.58,3,2,0.15,3,5.55,17,31.45,85,157.25,20,9.41E-09,9.41E-09,1.88E-08
0.06,0.62,14,0.06,0.62,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,8.86E-10,8.86E-10,1.77E-09
0.06,0.62,7,0.06,0.62,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.13E-09,3.13E-09,6.27E-09
0.06,0.62,4,0.06,0.62,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,1.06E-08,1.06E-08,2.11E-08
0.06,0.62,3,0.06,0.62,3,2,0.15,3,5.55,17,31.45,85,157.25,20,8.21E-09,8.21E-09,1.64E-08
0.06,0.66,14,0.06,0.66,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,8.49E-10,8.49E-10,1.70E-09
0.06,0.66,7,0.06,0.66,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.12E-09,3.12E-09,6.23E-09
0.06,0.66,4,0.06,0.66,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,9.99E-09,9.99E-09,2.00E-08
0.06,0.66,3,0.06,0.66,3,2,0.15,3,5.55,17,31.45,85,157.25,20,6.51E-09,6.51E-09,1.30E-08
0.06,0.7,14,0.06,0.7,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,8.21E-10,8.21E-10,1.64E-09
0.06,0.7,7,0.06,0.7,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.43E-09,3.43E-09,6.86E-09
0.06,0.7,4,0.06,0.7,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,9.12E-09,9.12E-09,1.82E-08
0.06,0.7,3,0.06,0.7,3,2,0.15,3,5.55,17,31.45,85,157.25,20,5.64E-09,5.64E-09,1.13E-08
0.06,0.74,14,0.06,0.74,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,7.99E-10,7.99E-10,1.60E-09
0.06,0.74,7,0.06,0.74,7,1,0.15,3,5.55,17,31.45,85,157.25,39,3.98E-09,3.98E-09,7.97E-09
0.06,0.74,4,0.06,0.74,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,8.21E-09,8.21E-09,1.64E-08
0.06,0.74,3,0.06,0.74,3,2,0.15,3,5.55,17,31.45,85,157.25,20,5.47E-09,5.47E-09,1.09E-08
0.06,0.78,14,0.06,0.78,14,0.5,0.15,3,5.55,17,31.45,85,157.25,75,7.86E-10,7.86E-10,1.57E-09
0.06,0.78,7,0.06,0.78,7,1,0.15,3,5.55,17,31.45,85,157.25,39,4.36E-09,4.36E-09,8.73E-09
0.06,0.78,4,0.06,0.78,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,6.71E-09,6.71E-09,1.34E-08
0.06,0.78,3,0.06,0.78,3,2,0.15,3,5.55,17,31.45,85,157.25,20,4.57E-09,4.57E-09,9.14E-09
0.1,0.06,13,0.1,0.06,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,8.70E-10,8.70E-10,1.74E-09
0.1,0.06,7,0.1,0.06,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.26E-09,2.26E-09,4.53E-09
0.1,0.06,4,0.1,0.06,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,6.47E-09,6.47E-09,1.29E-08
0.1,0.06,3,0.1,0.06,3,2,0.15,3,5.55,17,31.45,85,157.25,19,8.20E-09,8.20E-09,1.64E-08
0.1,0.1,13,0.1,0.1,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,8.92E-10,8.92E-10,1.78E-09
0.1,0.1,7,0.1,0.1,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.38E-09,2.38E-09,4.75E-09
0.1,0.1,4,0.1,0.1,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,7.02E-09,7.02E-09,1.40E-08
0.1,0.1,3,0.1,0.1,3,2,0.15,3,5.55,17,31.45,85,157.25,19,9.25E-09,9.25E-09,1.85E-08
0.1,0.14,13,0.1,0.14,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,9.19E-10,9.19E-10,1.84E-09
0.1,0.14,7,0.1,0.14,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.51E-09,2.51E-09,5.02E-09
0.1,0.14,4,0.1,0.14,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,7.70E-09,7.70E-09,1.54E-08
0.1,0.14,3,0.1,0.14,3,2,0.15,3,5.55,17,31.45,85,157.25,19,9.77E-09,9.77E-09,1.95E-08
0.1,0.18,13,0.1,0.18,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,9.50E-10,9.50E-10,1.90E-09
0.1,0.18,7,0.1,0.18,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.67E-09,2.67E-09,5.33E-09
0.1,0.18,4,0.1,0.18,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,8.00E-09,8.00E-09,1.60E-08
0.1,0.18,3,0.1,0.18,3,2,0.15,3,5.55,17,31.45,85,157.25,19,8.41E-09,8.41E-09,1.68E-08
0.1,0.22,13,0.1,0.22,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,9.86E-10,9.86E-10,1.97E-09
0.1,0.22,7,0.1,0.22,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.85E-09,2.85E-09,5.71E-09
0.1,0.22,4,0.1,0.22,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,7.05E-09,7.05E-09,1.41E-08
0.1,0.22,3,0.1,0.22,3,2,0.15,3,5.55,17,31.45,85,157.25,19,7.68E-09,7.68E-09,1.54E-08
0.1,0.26,13,0.1,0.26,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,1.03E-09,1.03E-09,2.06E-09
0.1,0.26,7,0.1,0.26,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.67E-09,2.67E-09,5.34E-09
0.1,0.26,4,0.1,0.26,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,6.00E-09,6.00E-09,1.20E-08
0.1,0.26,3,0.1,0.26,3,2,0.15,3,5.55,17,31.45,85,157.25,19,6.69E-09,6.69E-09,1.34E-08
0.1,0.3,13,0.1,0.3,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,1.08E-09,1.08E-09,2.15E-09
0.1,0.3,7,0.1,0.3,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.44E-09,2.44E-09,4.88E-09
0.1,0.3,4,0.1,0.3,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.66E-09,5.66E-09,1.13E-08
0.1,0.3,3,0.1,0.3,3,2,0.15,3,5.55,17,31.45,85,157.25,19,6.74E-09,6.74E-09,1.35E-08
0.1,0.34,13,0.1,0.34,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,1.14E-09,1.14E-09,2.27E-09
0.1,0.34,7,0.1,0.34,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.16E-09,2.16E-09,4.33E-09
0.1,0.34,4,0.1,0.34,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.49E-09,5.49E-09,1.10E-08
0.1,0.34,3,0.1,0.34,3,2,0.15,3,5.55,17,31.45,85,157.25,19,6.93E-09,6.93E-09,1.39E-08
0.1,0.38,13,0.1,0.38,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,1.06E-09,1.06E-09,2.12E-09
0.1,0.38,7,0.1,0.38,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.95E-09,1.95E-09,3.89E-09
0.1,0.38,4,0.1,0.38,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.06E-09,5.06E-09,1.01E-08
0.1,0.38,3,0.1,0.38,3,2,0.15,3,5.55,17,31.45,85,157.25,19,7.07E-09,7.07E-09,1.41E-08
0.1,0.42,13,0.1,0.42,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,9.65E-10,9.65E-10,1.93E-09
0.1,0.42,7,0.1,0.42,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.88E-09,1.88E-09,3.76E-09
0.1,0.42,4,0.1,0.42,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.21E-09,5.21E-09,1.04E-08
0.1,0.42,3,0.1,0.42,3,2,0.15,3,5.55,17,31.45,85,157.25,19,6.17E-09,6.17E-09,1.23E-08
0.1,0.46,13,0.1,0.46,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,8.58E-10,8.58E-10,1.72E-09
0.1,0.46,7,0.1,0.46,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.74E-09,1.74E-09,3.48E-09
0.1,0.46,4,0.1,0.46,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.55E-09,5.55E-09,1.11E-08
0.1,0.46,3,0.1,0.46,3,2,0.15,3,5.55,17,31.45,85,157.25,19,5.94E-09,5.94E-09,1.19E-08
0.1,0.5,13,0.1,0.5,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,7.97E-10,7.97E-10,1.59E-09
0.1,0.5,7,0.1,0.5,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.63E-09,1.63E-09,3.25E-09
0.1,0.5,4,0.1,0.5,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.49E-09,5.49E-09,1.10E-08
0.1,0.5,3,0.1,0.5,3,2,0.15,3,5.55,17,31.45,85,157.25,19,5.72E-09,5.72E-09,1.14E-08
0.1,0.54,13,0.1,0.54,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,7.48E-10,7.48E-10,1.50E-09
0.1,0.54,7,0.1,0.54,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.64E-09,1.64E-09,3.28E-09
0.1,0.54,4,0.1,0.54,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.78E-09,5.78E-09,1.16E-08
0.1,0.54,3,0.1,0.54,3,2,0.15,3,5.55,17,31.45,85,157.25,19,5.39E-09,5.39E-09,1.08E-08
0.1,0.58,13,0.1,0.58,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,7.06E-10,7.06E-10,1.41E-09
0.1,0.58,7,0.1,0.58,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.58E-09,1.58E-09,3.15E-09
0.1,0.58,4,0.1,0.58,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.90E-09,5.90E-09,1.18E-08
0.1,0.58,3,0.1,0.58,3,2,0.15,3,5.55,17,31.45,85,157.25,19,5.00E-09,5.00E-09,9.99E-09
0.1,0.62,13,0.1,0.62,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,6.73E-10,6.73E-10,1.35E-09
0.1,0.62,7,0.1,0.62,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.65E-09,1.65E-09,3.29E-09
0.1,0.62,4,0.1,0.62,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.50E-09,5.50E-09,1.10E-08
0.1,0.62,3,0.1,0.62,3,2,0.15,3,5.55,17,31.45,85,157.25,19,4.37E-09,4.37E-09,8.73E-09
0.1,0.66,13,0.1,0.66,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,6.45E-10,6.45E-10,1.29E-09
0.1,0.66,7,0.1,0.66,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.64E-09,1.64E-09,3.27E-09
0.1,0.66,4,0.1,0.66,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.28E-09,5.28E-09,1.06E-08
0.1,0.66,3,0.1,0.66,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.46E-09,3.46E-09,6.92E-09
0.1,0.7,13,0.1,0.7,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,6.24E-10,6.24E-10,1.25E-09
0.1,0.7,7,0.1,0.7,7,1,0.15,3,5.55,17,31.45,85,157.25,38,1.80E-09,1.80E-09,3.60E-09
0.1,0.7,4,0.1,0.7,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,5.03E-09,5.03E-09,1.01E-08
0.1,0.7,3,0.1,0.7,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.10E-09,3.10E-09,6.19E-09
0.1,0.74,13,0.1,0.74,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,6.09E-10,6.09E-10,1.22E-09
0.1,0.74,7,0.1,0.74,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.08E-09,2.08E-09,4.16E-09
0.1,0.74,4,0.1,0.74,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,4.46E-09,4.46E-09,8.93E-09
0.1,0.74,3,0.1,0.74,3,2,0.15,3,5.55,17,31.45,85,157.25,19,2.63E-09,2.63E-09,5.26E-09
0.1,0.78,13,0.1,0.78,13,0.5,0.15,3,5.55,17,31.45,85,157.25,70,5.99E-10,5.99E-10,1.20E-09
0.1,0.78,7,0.1,0.78,7,1,0.15,3,5.55,17,31.45,85,157.25,38,2.29E-09,2.29E-09,4.58E-09
0.1,0.78,4,0.1,0.78,4,1.5,0.15,3,5.55,17,31.45,85,157.25,26,3.60E-09,3.60E-09,7.20E-09
0.1,0.78,3,0.1,0.78,3,2,0.15,3,5.55,17,31.45,85,157.25,19,2.41E-09,2.41E-09,4.82E-09
0.14,0.06,12,0.14,0.06,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,7.00E-10,7.00E-10,1.40E-09
0.14,0.06,7,0.14,0.06,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.35E-09,1.35E-09,2.71E-09
0.14,0.06,4,0.14,0.06,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.63E-09,3.63E-09,7.26E-09
0.14,0.06,3,0.14,0.06,3,2,0.15,3,5.55,17,31.45,85,157.25,19,4.36E-09,4.36E-09,8.72E-09
0.14,0.1,12,0.14,0.1,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,7.19E-10,7.19E-10,1.44E-09
0.14,0.1,7,0.14,0.1,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.42E-09,1.42E-09,2.85E-09
0.14,0.1,4,0.14,0.1,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.94E-09,3.94E-09,7.87E-09
0.14,0.1,3,0.14,0.1,3,2,0.15,3,5.55,17,31.45,85,157.25,19,4.91E-09,4.91E-09,9.83E-09
0.14,0.14,12,0.14,0.14,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,7.40E-10,7.40E-10,1.48E-09
0.14,0.14,7,0.14,0.14,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.50E-09,1.50E-09,3.01E-09
0.14,0.14,4,0.14,0.14,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,4.31E-09,4.31E-09,8.62E-09
0.14,0.14,3,0.14,0.14,3,2,0.15,3,5.55,17,31.45,85,157.25,19,5.18E-09,5.18E-09,1.04E-08
0.14,0.18,12,0.14,0.18,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,7.65E-10,7.65E-10,1.53E-09
0.14,0.18,7,0.14,0.18,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.60E-09,1.60E-09,3.19E-09
0.14,0.18,4,0.14,0.18,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,4.48E-09,4.48E-09,8.95E-09
0.14,0.18,3,0.14,0.18,3,2,0.15,3,5.55,17,31.45,85,157.25,19,4.46E-09,4.46E-09,8.91E-09
0.14,0.22,12,0.14,0.22,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,7.95E-10,7.95E-10,1.59E-09
0.14,0.22,7,0.14,0.22,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.71E-09,1.71E-09,3.42E-09
0.14,0.22,4,0.14,0.22,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.94E-09,3.94E-09,7.88E-09
0.14,0.22,3,0.14,0.22,3,2,0.15,3,5.55,17,31.45,85,157.25,19,4.06E-09,4.06E-09,8.13E-09
0.14,0.26,12,0.14,0.26,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,8.29E-10,8.29E-10,1.66E-09
0.14,0.26,7,0.14,0.26,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.60E-09,1.60E-09,3.20E-09
0.14,0.26,4,0.14,0.26,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.36E-09,3.36E-09,6.72E-09
0.14,0.26,3,0.14,0.26,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.53E-09,3.53E-09,7.06E-09
0.14,0.3,12,0.14,0.3,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,8.69E-10,8.69E-10,1.74E-09
0.14,0.3,7,0.14,0.3,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.46E-09,1.46E-09,2.92E-09
0.14,0.3,4,0.14,0.3,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.16E-09,3.16E-09,6.33E-09
0.14,0.3,3,0.14,0.3,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.54E-09,3.54E-09,7.08E-09
0.14,0.34,12,0.14,0.34,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,9.17E-10,9.17E-10,1.83E-09
0.14,0.34,7,0.14,0.34,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.30E-09,1.30E-09,2.59E-09
0.14,0.34,4,0.14,0.34,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.07E-09,3.07E-09,6.13E-09
0.14,0.34,3,0.14,0.34,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.65E-09,3.65E-09,7.30E-09
0.14,0.38,12,0.14,0.38,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,8.54E-10,8.54E-10,1.71E-09
0.14,0.38,7,0.14,0.38,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.17E-09,1.17E-09,2.33E-09
0.14,0.38,4,0.14,0.38,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,2.82E-09,2.82E-09,5.64E-09
0.14,0.38,3,0.14,0.38,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.68E-09,3.68E-09,7.37E-09
0.14,0.42,12,0.14,0.42,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,7.80E-10,7.80E-10,1.56E-09
0.14,0.42,7,0.14,0.42,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.13E-09,1.13E-09,2.25E-09
0.14,0.42,4,0.14,0.42,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,2.89E-09,2.89E-09,5.78E-09
0.14,0.42,3,0.14,0.42,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.31E-09,3.31E-09,6.61E-09
0.14,0.46,12,0.14,0.46,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,6.94E-10,6.94E-10,1.39E-09
0.14,0.46,7,0.14,0.46,7,1,0.15,3,5.55,17,31.45,85,157.25,36,1.04E-09,1.04E-09,2.08E-09
0.14,0.46,4,0.14,0.46,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.08E-09,3.08E-09,6.15E-09
0.14,0.46,3,0.14,0.46,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.21E-09,3.21E-09,6.41E-09
0.14,0.5,12,0.14,0.5,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,6.45E-10,6.45E-10,1.29E-09
0.14,0.5,7,0.14,0.5,7,1,0.15,3,5.55,17,31.45,85,157.25,36,9.74E-10,9.74E-10,1.95E-09
0.14,0.5,4,0.14,0.5,4,1.5,0.15,3,5.55,17,31.45,85,157.25,25,3.03E-09,3.03E-09,6.07E-09
0.14,0.5,3,0.14,0.5,3,2,0.15,3,5.55,17,31.45,85,157.25,19,3.07E-09,3.07E-09,6.15E-09
0.14,0.54,12,0.14,0.54,12,0.5,0.15,3,5.55,17,31.45,85,157.25,66,6.05E-10,6.05E-10,1.21E-09
0.14,0.54,7,0.14,0.54,7,1,0.15,3,5.55,17,31.45,85,157.25,36,9.83E-10,9.83E-10,1.97E-09
