Trace Width (Rx L mm),Trace Thickness (Rx L mm),Number of Turns (Rx L),Trace Width (Rx L+C mm),Trace Thickness (Rx L+C mm),Number of Turns (Rx L+C),Gap Between Segments (mm),Center Area Percentage,Capacitor Area Length (mm),Capacitor Area Width (mm),Rx Coil Area Length (mm),Rx Coil Area Width (mm),Tx Coil Area Length (mm),Tx Coil Area Width (mm),Mutual Inductance Segment L (H),Mutual Inductance Segment L+C (H),Final Mutual Inductance (H)
0.059999998658895486,0.059999998658895486,128,0.059999998658895486,0.059999998658895486,128,0.05000000074505806,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,8.614863379954874e-13,8.614863379954874e-13,1.7229726759909747e-12
0.059999998658895486,0.059999998658895486,88,0.059999998658895486,0.059999998658895486,88,0.10000000149011612,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,4.209537666360896e-12,4.209537666360896e-12,8.419075332721793e-12
0.059999998658895486,0.059999998658895486,67,0.059999998658895486,0.059999998658895486,67,0.15000000596046448,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.6295530896881516e-11,1.6295530896881516e-11,3.259106179376303e-11
0.059999998658895486,0.059999998658895486,54,0.059999998658895486,0.059999998658895486,54,0.20000000298023224,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,4.538783932028778e-11,4.538783932028778e-11,9.077567864057556e-11
0.059999998658895486,0.059999998658895486,45,0.059999998658895486,0.059999998658895486,45,0.25,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.064769522551856e-10,1.064769522551856e-10,2.129539045103712e-10
0.059999998658895486,0.059999998658895486,38,0.059999998658895486,0.059999998658895486,38,0.30000001192092896,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,2.3238347357512623e-10,2.3238347357512623e-10,4.6476694715025246e-10
0.059999998658895486,0.059999998658895486,34,0.059999998658895486,0.059999998658895486,34,0.3499999940395355,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,3.8056691131771464e-10,3.8056691131771464e-10,7.611338226354293e-10
0.059999998658895486,0.059999998658895486,30,0.059999998658895486,0.059999998658895486,30,0.4000000059604645,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,6.625073822874582e-10,6.625073822874582e-10,1.3250147645749164e-09
0.059999998658895486,0.059999998658895486,27,0.059999998658895486,0.059999998658895486,27,0.44999998807907104,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.0441274511663323e-09,1.0441274511663323e-09,2.0882549023326646e-09
0.059999998658895486,0.059999998658895486,24,0.059999998658895486,0.059999998658895486,24,0.5,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.7288318554520286e-09,1.7288318554520286e-09,3.457663710904057e-09
0.059999998658895486,0.059999998658895486,22,0.059999998658895486,0.059999998658895486,22,0.550000011920929,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,2.4679951415862433e-09,2.4679951415862433e-09,4.935990283172487e-09
0.059999998658895486,0.059999998658895486,21,0.059999998658895486,0.059999998658895486,21,0.5999999642372131,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,2.924859909825273e-09,2.924859909825273e-09,5.849719819650545e-09
0.059999998658895486,0.059999998658895486,19,0.059999998658895486,0.059999998658895486,19,0.6499999761581421,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,4.376662587901592e-09,4.376662587901592e-09,8.753325175803184e-09
0.059999998658895486,0.059999998658895486,18,0.059999998658895486,0.059999998658895486,18,0.699999988079071,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,5.323897767084418e-09,5.323897767084418e-09,1.0647795534168836e-08
0.059999998658895486,0.059999998658895486,17,0.059999998658895486,0.059999998658895486,17,0.75,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,6.541073904742234e-09,6.541073904742234e-09,1.3082147809484468e-08
0.059999998658895486,0.059999998658895486,16,0.059999998658895486,0.059999998658895486,16,0.8000000119209291,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,8.121473271671675e-09,8.121473271671675e-09,1.624294654334335e-08
0.059999998658895486,0.059999998658895486,15,0.059999998658895486,0.059999998658895486,15,0.8500000238418579,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.0199141087241514e-08,1.0199141087241514e-08,2.0398282174483032e-08
0.059999998658895486,0.059999998658895486,14,0.059999998658895486,0.059999998658895486,14,0.8999999761581421,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.2964514795044124e-08,1.2964514795044124e-08,2.5929029590088252e-08
0.059999998658895486,0.059999998658895486,13,0.059999998658895486,0.059999998658895486,13,0.9499999880790709,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.6695683058287614e-08,1.6695683058287614e-08,3.339136611657523e-08
0.059999998658895486,0.10000000149011612,128,0.059999998658895486,0.10000000149011612,128,0.05000000074505806,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.486578438472663e-12,1.486578438472663e-12,2.973156876945326e-12
0.059999998658895486,0.10000000149011612,88,0.059999998658895486,0.10000000149011612,88,0.10000000149011612,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.1640049167593867e-11,1.1640049167593867e-11,2.3280098335187735e-11
0.059999998658895486,0.10000000149011612,67,0.059999998658895486,0.10000000149011612,67,0.15000000596046448,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,4.246208940017482e-11,4.246208940017482e-11,8.492417880034964e-11
0.059999998658895486,0.10000000149011612,54,0.059999998658895486,0.10000000149011612,54,0.20000000298023224,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.186682280218676e-10,1.186682280218676e-10,2.373364560437352e-10
0.059999998658895486,0.10000000149011612,45,0.059999998658895486,0.10000000149011612,45,0.25,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,2.7874261232518904e-10,2.7874261232518904e-10,5.574852246503782e-10
0.059999998658895486,0.10000000149011612,38,0.059999998658895486,0.10000000149011612,38,0.30000001192092896,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,6.079535763703348e-10,6.079535763703348e-10,1.2159071527406695e-09
0.059999998658895486,0.10000000149011612,34,0.059999998658895486,0.10000000149011612,34,0.3499999940395355,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,9.979792547909483e-10,9.979792547909483e-10,1.9959585095818966e-09
0.059999998658895486,0.10000000149011612,30,0.059999998658895486,0.10000000149011612,30,0.4000000059604645,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,1.7427530529801059e-09,1.7427530529801059e-09,3.4855061059602117e-09
0.059999998658895486,0.10000000149011612,27,0.059999998658895486,0.10000000149011612,27,0.44999998807907104,0.15000000596046448,5.001,3.9915,28.339,22.6185,141.695,113.0925,2.751464611705501e-09,2.751464611705501e-09,5.502929223411002e-09
